model,top_frac,EF
RF_b2_stratified_scaffold,0.05,1.09
RF_b2_stratified_scaffold,0.1,0.82
RF_b2_stratified_scaffold,0.2,0.82
XGB_b2_stratified_scaffold,0.05,1.63
XGB_b2_stratified_scaffold,0.1,1.09
XGB_b2_stratified_scaffold,0.2,1.09
SVR_b2_stratified_scaffold,0.05,1.09
SVR_b2_stratified_scaffold,0.1,1.09
SVR_b2_stratified_scaffold,0.2,0.95
RF_b2_scaffold,0.05,0.69
RF_b2_scaffold,0.1,1.37
RF_b2_scaffold,0.2,1.27
XGB_b2_scaffold,0.05,2.06
XGB_b2_scaffold,0.1,1.72
XGB_b2_scaffold,0.2,1.59
SVR_b2_scaffold,0.05,2.06
SVR_b2_scaffold,0.1,1.72
SVR_b2_scaffold,0.2,1.43
RF_b2_random,0.05,1.25
RF_b2_random,0.1,0.8
RF_b2_random,0.2,0.62
XGB_b2_random,0.05,1.88
XGB_b2_random,0.1,1.07
XGB_b2_random,0.2,0.88
SVR_b2_random,0.05,0.62
SVR_b2_random,0.1,0.8
SVR_b2_random,0.2,1.0
