feature,mean_abs_shap,feat_index_in_selected,feat_index_in_combined
fr_NH0,0.081703,3,2167
SlogP_VSA2,0.063245,4,2108
VSA_EState2,0.054484,1,2129
MaxEStateIndex,0.048587,35,2049
EState_VSA5,0.044757,50,2122
VSA_EState8,0.039599,11,2135
EState_VSA7,0.03687,33,2124
MinEStateIndex,0.036232,6,2050
BalabanJ,0.033628,5,2061
MolLogP,0.032574,25,2160
VSA_EState6,0.031942,8,2133
EState_VSA2,0.031823,23,2119
SlogP_VSA3,0.031148,2,2109
HallKierAlpha,0.028043,0,2075
VSA_EState4,0.026798,19,2131
SPS,0.026715,18,2051
FpDensityMorgan3,0.024635,28,2057
MolWt,0.024581,48,2052
Kappa2,0.023744,12,2078
PEOE_VSA9,0.023629,43,2094
SMR_VSA7,0.023364,9,2102
BCUT2D_MWHI,0.020913,57,2058
ECFP4_bit1034,0.020888,66,1034
Chi3n,0.019967,10,2071
VSA_EState5,0.017773,24,2132
ECFP4_bit1028,0.01757,133,1028
PEOE_VSA8,0.017549,26,2093
VSA_EState9,0.017184,16,2136
ECFP4_bit1114,0.016922,14,1114
AvgIpc,0.016454,20,2060
Chi0n,0.016451,13,2064
SlogP_VSA1,0.016362,69,2104
PEOE_VSA3,0.016231,60,2088
EState_VSA4,0.0158,56,2121
Ipc,0.015391,7,2076
ECFP4_bit1384,0.014635,82,1384
ECFP4_bit898,0.01457,86,898
EState_VSA3,0.014191,44,2120
BertzCT,0.013921,15,2062
NumAtomStereoCenters,0.013796,67,2147
SlogP_VSA5,0.013751,53,2111
VSA_EState1,0.013454,65,2127
VSA_EState3,0.013449,36,2130
Phi,0.013069,32,2158
EState_VSA6,0.012896,52,2123
ECFP4_bit675,0.012604,104,675
SMR_VSA6,0.012477,30,2101
EState_VSA8,0.01229,62,2125
Chi4v,0.011949,17,2074
ECFP4_bit473,0.011778,138,473
